"NAME,TEAM,POS,SALARY,2P%,2PA,3P%,3PA,AGE,ApG,BpG,DRtg,FT%,FTA,GP,MpG,ORtg,P+A,P+R,P+R+A,PpG,RpG,SpG,TO%,TOpG,TS%,USG%,VI,eFG%,PERFORMANCE,EFFICIENCY,PERF_Z,LOG_SALARY,EXPECTED_SALARY,VALUE"
"Stephen Curry,GSW,G,59606817,0.603,131.0,0.391,207.0,37.7,4.1,0.5,109.8,0.903,93.0,17.0,31.1,117.1,32.6,32.3,36.4,28.5,3.8,1.2,13.3,3.1,0.64,34.5,9.8,0.593,23.35,0.392,1.099,17.90328050468941,14061451.851,45545365.149"
"Joel Embiid,PHI,C-F,55224526,0.523,107.0,0.216,51.0,31.7,3.0,1.2,108.6,0.817,71.0,10.0,25.7,108.5,23.3,26.2,29.2,20.3,5.9,0.8,13.2,2.4,0.536,34.7,11.1,0.459,9.352,0.169,-0.206,17.826917724164357,6051164.994,49173361.006"
"Nikola Jokic,DEN,C,55224526,0.702,292.0,0.424,118.0,30.8,10.9,0.7,106.5,0.85,173.0,24.0,34.6,145.3,40.3,41.7,52.6,29.5,12.3,1.4,16.5,3.4,0.727,29.2,18.3,0.683,53.897,0.976,3.945,17.826917724164357,88540409.324,-33315883.324"
"Kevin Durant,HOU,F,54708609,0.538,253.0,0.396,91.0,37.2,3.9,0.6,109.9,0.892,130.0,20.0,35.4,123.7,28.7,29.4,33.2,24.8,4.6,1.0,14.6,3.0,0.618,26.7,8.6,0.552,29.499,0.539,1.672,17.817531640748776,20364649.586,34343959.414"
"Jayson Tatum,BOS,INACTIVE,54126450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,17.806833533766422,3444933.285,50681516.715"
"Giannis Antetokounmpo,MIL,F,54126450,0.657,271.0,0.435,23.0,31.0,6.1,0.9,108.5,0.635,167.0,17.0,29.1,129.3,35.1,39.1,45.2,28.9,10.1,0.9,16.0,3.3,0.669,37.7,16.7,0.656,26.616,0.492,1.403,17.806833533766422,17118262.528,37008187.472"
"Anthony Davis,DAL,F-C,54126450,0.546,152.0,0.318,22.0,32.8,3.2,1.6,105.5,0.702,47.0,11.0,29.6,115.7,23.2,30.5,33.7,20.0,10.5,1.4,10.3,1.8,0.565,27.8,11.8,0.537,14.569,0.269,0.28,17.806833533766422,8285279.54,45841170.46"
"Jimmy Butler,GSW,F,54126450,0.539,206.0,0.444,45.0,36.2,5.0,0.2,112.5,0.845,168.0,22.0,31.0,140.1,24.3,25.1,30.1,19.3,5.9,1.5,10.7,1.4,0.652,22.0,10.7,0.562,30.171,0.557,1.734,17.806833533766422,21205912.406,32920537.594"
"Bradley Beal,PHO,G,59020270,0.379,29.0,0.368,19.0,32.5,1.7,0.0,114.5,0.75,8.0,6.0,20.2,91.4,9.8,9.0,10.7,8.2,0.8,0.5,15.7,1.5,0.476,22.0,4.4,0.448,1.789,0.03,-0.911,17.893391502189036,3836890.436,55183379.564"
"Jaylen Brown,BOS,G-F,53142264,0.548,374.0,0.367,139.0,29.1,4.8,0.3,109.9,0.791,172.0,24.0,33.5,116.5,34.0,35.2,40.0,29.1,6.1,1.1,14.3,3.6,0.594,36.1,11.3,0.549,36.419,0.685,2.316,17.7884831018295,30896460.759,22245803.241"
"Devin Booker,PHO,G,53142264,0.522,268.0,0.315,124.0,29.1,6.7,0.4,112.9,0.874,175.0,22.0,34.7,117.2,31.7,29.3,36.0,25.0,4.3,0.9,17.3,3.7,0.586,30.2,10.3,0.506,31.587,0.594,1.866,17.7884831018295,23094313.875,30047950.125"
"Karl-Anthony Towns,NYK,C-F,53142264,0.519,237.0,0.355,121.0,30.1,3.3,0.8,102.6,0.881,151.0,23.0,33.0,123.9,25.3,34.1,37.4,22.1,12.0,0.8,13.9,2.5,0.598,26.6,11.6,0.524,34.585,0.651,2.146,17.7884831018295,27665822.4,25476441.6"
"LeBron James,LAL,F,52627153,0.547,75.0,0.306,36.0,41.0,7.6,0.6,115.5,0.607,28.0,8.0,33.5,116.4,24.1,22.5,30.1,16.5,6.0,0.6,12.6,2.0,0.535,22.6,10.9,0.518,10.198,0.194,-0.127,17.778742761243954,6367595.25,46259557.75"
"Paul George,PHI,F,51666090,0.466,58.0,0.38,50.0,35.6,3.3,0.3,108.6,0.833,30.0,9.0,25.4,112.9,18.4,20.2,23.6,15.1,5.1,1.6,12.2,1.7,0.561,25.0,10.0,0.514,7.597,0.147,-0.37,17.7603122248628,5444068.07,46222021.93"
"Kawhi Leonard,LAC,F,50000000,0.537,188.0,0.38,92.0,34.5,3.1,0.4,115.6,0.973,74.0,15.0,32.4,119.5,28.3,31.0,34.1,25.3,5.7,2.1,8.8,1.8,0.606,30.7,9.4,0.548,21.816,0.436,0.956,17.72753356339242,12819973.855,37180026.145"
"Zach LaVine,SAC,G,47499660,0.575,174.0,0.389,157.0,30.8,2.3,0.2,119.8,0.866,82.0,22.0,33.6,111.6,23.0,23.7,26.0,20.6,3.1,0.8,12.9,2.2,0.618,23.9,6.3,0.579,23.946,0.504,1.154,17.676233111084514,14575288.031,32924371.969"
"Cade Cunningham,DET,G,46394100,0.517,315.0,0.307,137.0,24.2,9.1,0.9,107.1,0.828,169.0,22.0,35.8,117.9,36.0,33.0,42.2,26.9,6.1,1.5,15.5,3.8,0.562,31.6,12.8,0.5,39.24,0.846,2.579,17.652682853939165,36618715.334,9775384.666"
"Evan Mobley,CLE,C,46394100,0.559,245.0,0.352,108.0,24.5,4.1,1.6,109.8,0.64,139.0,25.0,34.2,117.9,23.2,28.4,32.5,19.1,9.3,1.0,13.7,2.2,0.576,22.6,10.5,0.55,36.301,0.782,2.305,17.652682853939165,30677851.282,15716248.718"
"Jamal Murray,DEN,G,46394100,0.539,243.0,0.442,165.0,28.8,6.9,0.3,115.3,0.89,91.0,23.0,34.6,126.5,31.3,28.9,35.7,24.4,4.4,1.1,11.5,2.3,0.627,26.9,10.5,0.589,36.312,0.783,2.306,17.652682853939165,30698367.752,15695732.248"
