"RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg"
",Jabari Smith Jr.,Hou,*,F,22.6,21,33.5,18,10,64,0.797,135,0.541,118,0.356,0.538,0.574,15.4,6.6,2,0.8,0.8,1.3,22,17.3,23.9,7,124.1,106.6"
",Alperen Sengun,Hou,*,C,23.4,20,35.9,26.8,16.4,136,0.735,286,0.524,55,0.364,0.528,0.574,23,9.4,7,1.5,1,3.4,32.4,30,39.4,12.8,122.8,104.3"
",Steven Adams,Hou,*,C,32.4,18,21.6,12.4,20.1,42,0.762,79,0.532,0,0,0.532,0.595,6.4,9.1,1.6,0.7,0.7,1.1,15.5,8,17.1,8.4,135.2,104.9"
",Kevin Durant,Hou,*,F,37.2,20,35.4,26.7,14.6,130,0.892,253,0.538,91,0.396,0.552,0.618,24.8,4.6,3.9,1,0.6,3,29.4,28.7,33.2,8.6,123.7,109.9"
",Amen Thompson,Hou,*,G-F,22.9,22,36.2,21.1,15.5,94,0.809,263,0.536,47,0.191,0.498,0.548,17.5,7.1,5.2,1.4,0.5,2.6,24.6,22.7,29.9,9.6,119.7,109"
",Tari Eason,Hou,*,F,24.6,11,23.2,18.8,16.6,7,0.714,42,0.476,53,0.509,0.637,0.642,11.5,5.2,1.6,0.8,0.5,1.7,16.6,13.1,18.3,7.9,121.7,108"
",Reed Sheppard,Hou,*,G,21.5,22,24.9,19.6,11.5,21,0.714,97,0.515,126,0.444,0.601,0.609,12.9,3.1,3.2,1.5,0.5,1.3,16,16.1,19.2,8.1,127.4,106.9"
",Clint Capela,Hou,*,C,31.6,21,11.7,13.2,13.8,15,0.667,62,0.565,0,0,0.565,0.583,3.8,4.8,0.4,0.4,0.8,0.5,8.6,4.2,9,6.6,133.9,105.3"
",Josh Okogie,Hou,*,G,27.3,22,20.9,12.6,14.1,33,0.727,51,0.51,58,0.397,0.555,0.587,6.6,2.9,1,1.4,0.2,0.8,9.5,7.6,10.5,5.1,124.5,107.1"
",Luguentz Dort,Okc,*,G,26.7,16,28.7,12.7,7.8,14,0.929,35,0.543,83,0.325,0.504,0.532,8.3,3.9,1.1,0.9,0.4,0.6,12.1,9.4,13.3,4.6,113.5,99.6"
